"Num","Electorate","Candidate.Surname","Candidate.Given.names","Party","Winner"
65,"Hauraki-Waikato","GREENSILL","Angeline Ngahina","Internet Mana"
65,"Hauraki-Waikato","MAHUTA","Nanaia","Labour",1
66,"Ikaroa-Rāwhiti","EDEN","Cathryn","Independent"
66,"Ikaroa-Rāwhiti","FOX","Marama","Māori"
66,"Ikaroa-Rāwhiti","KANI","Henare","Green"
66,"Ikaroa-Rāwhiti","NIKORA","Te Hāmua","Internet Mana"
66,"Ikaroa-Rāwhiti","ROSE","Vicky","The Expats"
66,"Ikaroa-Rāwhiti","WHAITIRI","Meka","Labour",1
67,"Tāmaki Makaurau","DAVIDSON","Marama","Green"
67,"Tāmaki Makaurau","HARRISON","Raewyn","Independent"
67,"Tāmaki Makaurau","HENARE","Peeni","Labour",1
67,"Tāmaki Makaurau","McLEAN","Rangi","Māori"
67,"Tāmaki Makaurau","PENE","Kereama","Internet Mana"
68,"Te Tai Hauāuru","McDONALD","Jack Tautokai","Green"
68,"Te Tai Hauāuru","McKENZIE","Chris","Māori"
68,"Te Tai Hauāuru","RURAWHE","Adrian","Labour",1
68,"Te Tai Hauāuru","WINIATA","Jordan","Internet Mana"
69,"Te Tai Tokerau","DAVIS","Kelvin","Labour"
69,"Te Tai Tokerau","DEARLOVE","Clinton","Independent"
69,"Te Tai Tokerau","HARAWIRA","Hone","Internet Mana",1
69,"Te Tai Tokerau","PAENGA","Te Hira","Māori"
70,"Te Tai Tonga","BEYER","Georgina","Internet Mana"
70,"Te Tai Tonga","BUTTON","Ngaire","Māori"
70,"Te Tai Tonga","KINGI","Emma-Jane Mihaere","Aotearoa Legalise Cannabis Party"
70,"Te Tai Tonga","LANGSBURY","Dora Roimata","Green"
70,"Te Tai Tonga","TAMATI","Hahona Rakiraki","Democrats for Social Credit"
70,"Te Tai Tonga","TIRIKATENE","Rino","Labour",1
71,"Waiariki","FLAVELL","Te Ururoa James","Māori",1
71,"Waiariki","SPELLMAN","Pat","NZ Independent Coalition"
71,"Waiariki","SYKES","Annette","Internet Mana"
71,"Waiariki","WAITITI","Rawiri","Labour"
